Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth: GET /qr/generate,2008,0,100.0,137.95498986903948,2.4457500003336463,1500.375042000087,203.0,6.708729337712285,0.0,100,110,200,200,230,300,400,490,1200,1500,1500
POST,auth: POST /login,2165,0,3200.0,3252.397662001357,74.53745900056674,7099.28220799884,298.0,7.2332664423043305,0.0,3200,3700,4000,4200,4800,5400,5900,6100,6700,7100,7100
POST,auth: POST /login (health_user),2,0,634.9507499999163,638.281229000313,634.9507499999163,641.6117080007098,405.0,0.006682001332382753,0.0,640,640,640,640,640,640,640,640,640,640,640
POST,auth: POST /login (wrong password),208,0,5800.0,5777.795838908611,2244.231208000201,10904.134957998394,42.0,0.6949281385678063,0.0,5800,6600,6900,7300,8000,8400,9200,11000,11000,11000,11000
GET,form: GET /questionnaires/active,565,0,5,6.550629290240091,2.372041000853642,43.25224999956845,498.0,1.887665376398128,0.0,5,6,7,8,11,15,23,28,43,43,43
POST,form: POST /surveys (asymptomatic),1151,0,7,8.077589588151707,2.6941659998556133,53.86020900004951,340.0,3.8454917667862745,0.0,7,8,9,9,12,16,20,47,54,54,54
POST,gateway: POST /gate/validate (healthy),233,0,5,5.7196276567149615,1.847749999797088,51.878250000299886,61.61802575107296,0.7784531552225907,0.0,5,5,6,7,9,11,19,23,52,52,52
POST,gateway: POST /gate/validate (invalid token),344,0,4,5.213119912849474,1.6602079995209351,47.8863749995071,67.0,1.1493042291698337,0.0,4,5,5,6,8,10,17,21,48,48,48
GET,promotion: GET /health-status/stats,160,0,7,9.715947387439883,4.016292001324473,47.2436670006573,96.0,0.5345601065906203,0.0,7,9,10,11,16,23,32,47,47,47,47
GET,promotion: GET /health-status/stats/department,48,0,9,10.807861916684184,4.168999999819789,33.49754200098687,143.6875,0.16036803197718608,0.0,9,11,12,12,21,30,33,33,33,33,33
GET,promotion: GET /mesh/stats/{id},152,0,12,13.593515381635848,4.875041000559577,55.84724999971513,41.0,0.5078321012610892,0.0,12,13,14,17,23,31,36,54,56,56,56
POST,promotion: POST /health/confirmed,159,0,10,10.997276698091248,5.284709000989096,43.162166999536566,0.0,0.5312191059244289,0.0,10,11,12,13,17,21,30,36,43,43,43
,Aggregated,7195,0,100.0,1187.4253179689972,1.6602079995209351,10904.134957998394,250.3049339819319,24.038499793246956,0.0,100,300,2400,3000,4000,4800,5900,6600,8700,11000,11000
